앱,모델 이름,필드 이름,필드 종류,필드 속성,특이사항
hobby,Hobby,created_at,DateTimeField,auto_now_add=True,
hobby,Hobby,meeting_day,DateTimeField,,
hobby,Hobby,address_type,BooleanField,default=False,
hobby,Hobby,address,CharField,"max_length=100, default='온라인’",
hobby,Hobby,X,CharField,"max_length=30, null=True, blank=True",
hobby,Hobby,Y,CharField,"max_length=30, null=True, blank=True",
hobby,Hobby,entry_fee,CharField,"max_length=30, null=True, blank=True",
hobby,Hobby,content,TextField,"null=True, blank=True",
hobby,Hobby,hits,PositiveBigIntegerField,default=0,
hobby,Hobby,recruit_type,BooleanField,(default=False,
hobby,Hobby,limit,IntegerField,"default=3, validators=[MinValueValidator(3), MaxValueValidator(15)]",
hobby,Hobby,members,ManyToManyField,"settings.AUTH_USER_MODEL, through='Accepted’",
hobby,Hobby,image,ImageField,"upload_to=""images/"",
blank=True,",
hobby,Hobby,image_thumbnail,ImageSpecField,"source=""image"",
processors=[ResizeToFill(300, 300)],
format=""JPEG"",
options={""quality"": 80},",
hobby,Hobby,like_user,ManyToManyField,"settings.AUTH_USER_MODEL, related_name='like_hobby’",
hobby,Accepted,joindate,DateTimeField,auto_now=True,
hobby,Accepted,hobby,ForeignKey,"Hobby, on_delete=models.CASCADE, related_name='accepted’",
hobby,Accepted,user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
hobby,Accepted,joined,BooleanField,default=False,
hobby,Tag,tag,CharField,"max_length=20, unique=True",
hobby,Tag,category,CharField,"max_length=20, unique=True",
hobby,HobbyComment,user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
hobby,HobbyComment,hobby,ForeignKey,"Hobby, on_delete=models.CASCADE, related_name='comments’",
hobby,HobbyComment,content,TextField,,
hobby,HobbyComment,created_at,DateTimeField,auto_now_add=True,
hobby,HobbyComment,like_user,ManyToManyField,"settings.AUTH_USER_MODEL, related_name='like_comment’",
hobby,HobbyComment,parent,ForeignKey,"'self', on_delete=models.CASCADE, null=True, related_name='recomment’",
,,,,,
community,Community,user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE, default=""”",
community,Community,title,CharField,max_length=50,
community,Community,content,TextField,,
community,Community,created_at,DateTimeField,auto_now_add=True,
community,Community,like,ManyToManyField,"settings.AUTH_USER_MODEL, related_name=""like_community”",
community,Community,hits,PositiveBigIntegerField,"default=1, verbose_name=""조회수”",
community,Comment,content,CharField,max_length=300,
community,Comment,created_at,DateTimeField,auto_now_add=True,
community,Comment,posting,ForeignKey,"Community, on_delete=models.CASCADE",
community,Comment,user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
community,Comment,like,ManyToManyField,"settings.AUTH_USER_MODEL, related_name=""like_community_comment”",
community,Comment,parent_comment,ForeignKey,"""self"", on_delete=models.CASCADE, related_name=""recomment"", null=True",
community,Photo,post,ForeignKey,"Community, on_delete=models.CASCADE, null=True",
community,Photo,image,ImageField,"upload_to=""images/"", blank=True, null=True",
